date,sales
2023-01-01,100
2023-01-02,112
2023-01-03,118
2023-01-04,123
2023-01-05,128
2023-01-06,132
2023-01-07,136
2023-01-08,140
2023-01-09,144
2023-01-10,148
2023-01-11,151
2023-01-12,155
2023-01-13,158
2023-01-14,162
2023-01-15,165
2023-01-16,168
2023-01-17,172
2023-01-18,175
2023-01-19,178
2023-01-20,181
2023-01-21,184
2023-01-22,187
2023-01-23,190
2023-01-24,193
2023-01-25,196
2023-01-26,200
2023-01-27,202
2023-01-28,205
2023-01-29,208
2023-01-30,211
2023-01-31,214
2023-02-01,217
2023-02-02,220
2023-02-03,223
2023-02-04,226
2023-02-05,229
2023-02-06,232
2023-02-07,234
2023-02-08,237
2023-02-09,240
2023-02-10,243
2023-02-11,246
2023-02-12,248
2023-02-13,251
2023-02-14,254
2023-02-15,257
2023-02-16,259
2023-02-17,262
2023-02-18,265
2023-02-19,268
2023-02-20,270
2023-02-21,273
2023-02-22,276
2023-02-23,278
2023-02-24,281
2023-02-25,284
2023-02-26,286
2023-02-27,289
2023-02-28,292
2023-03-01,294
2023-03-02,297
2023-03-03,300
2023-03-04,302
2023-03-05,305
2023-03-06,308
2023-03-07,310
2023-03-08,313
2023-03-09,315
2023-03-10,318
2023-03-11,321
2023-03-12,323
2023-03-13,326
2023-03-14,328
2023-03-15,331
2023-03-16,334
2023-03-17,336
2023-03-18,339
2023-03-19,341
2023-03-20,344
2023-03-21,346
2023-03-22,349
2023-03-23,352
2023-03-24,354
2023-03-25,357
2023-03-26,359
2023-03-27,362
2023-03-28,364
2023-03-29,367
2023-03-30,369
2023-03-31,372
2023-04-01,374
2023-04-02,377
2023-04-03,379
2023-04-04,382
2023-04-05,384
2023-04-06,387
2023-04-07,389
2023-04-08,392
2023-04-09,394
2023-04-10,397
